dataset;distribution;samples;bins;participant;answer;outcome;confidence;timing
58;uniform;1000;40;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;CORRECT;3;16615
71;uniform;1000000;3;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;CORRECT;4;21876
14;normal;1000;7;06x0340631x7ngeqkrn3w1rj7zz6758f;normal;CORRECT;4;32934
19;normal;1000;100;06x0340631x7ngeqkrn3w1rj7zz6758f;normal;CORRECT;4;38157
66;uniform;10000;15;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;CORRECT;4;42158
116;gamma;1000000;15;06x0340631x7ngeqkrn3w1rj7zz6758f;gamma;CORRECT;4;54391
132;bimodal;1000;4;06x0340631x7ngeqkrn3w1rj7zz6758f;gamma;WRONG;2;71663
9;normal;100;100;06x0340631x7ngeqkrn3w1rj7zz6758f;normal;CORRECT;2;83283
144;bimodal;10000;7;06x0340631x7ngeqkrn3w1rj7zz6758f;normal;WRONG;3;87768
110;gamma;1000000;2;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;WRONG;3;94961
108;gamma;10000;40;06x0340631x7ngeqkrn3w1rj7zz6758f;gamma;CORRECT;4;100718
74;uniform;1000000;7;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;CORRECT;4;103882
44;uniform;100;7;06x0340631x7ngeqkrn3w1rj7zz6758f;bimodal;WRONG;3;111784
153;bimodal;1000000;5;06x0340631x7ngeqkrn3w1rj7zz6758f;normal;WRONG;2;120458
122;bimodal;100;4;06x0340631x7ngeqkrn3w1rj7zz6758f;normal;WRONG;3;124639
145;bimodal;10000;10;06x0340631x7ngeqkrn3w1rj7zz6758f;bimodal;CORRECT;3;128850
126;bimodal;100;15;06x0340631x7ngeqkrn3w1rj7zz6758f;bimodal;CORRECT;1;142908
79;uniform;1000000;100;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;CORRECT;4;146509
119;gamma;1000000;100;06x0340631x7ngeqkrn3w1rj7zz6758f;gamma;CORRECT;3;157660
69;uniform;10000;100;06x0340631x7ngeqkrn3w1rj7zz6758f;uniform;CORRECT;3;172113
150;bimodal;1000000;2;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;WRONG;1;20751
116;gamma;1000000;15;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;CORRECT;1;26917
106;gamma;10000;15;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;CORRECT;3;53234
153;bimodal;1000000;5;2ltfduc4mx85pq1f6pungljd63j17rbr;normal;WRONG;2;62961
24;normal;10000;7;2ltfduc4mx85pq1f6pungljd63j17rbr;normal;CORRECT;3;67701
149;bimodal;10000;100;2ltfduc4mx85pq1f6pungljd63j17rbr;bimodal;CORRECT;3;84755
49;uniform;100;100;2ltfduc4mx85pq1f6pungljd63j17rbr;uniform;CORRECT;4;92725
66;uniform;10000;15;2ltfduc4mx85pq1f6pungljd63j17rbr;uniform;CORRECT;4;100802
132;bimodal;1000;4;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;WRONG;3;113158
95;gamma;1000;10;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;CORRECT;3;122489
40;uniform;100;2;2ltfduc4mx85pq1f6pungljd63j17rbr;uniform;CORRECT;3;130191
124;bimodal;100;7;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;WRONG;2;136533
32;normal;1000000;4;2ltfduc4mx85pq1f6pungljd63j17rbr;bimodal;WRONG;1;151176
32;normal;1000000;4;2ltfduc4mx85pq1f6pungljd63j17rbr;bimodal;WRONG;1;156285
142;bimodal;10000;4;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;WRONG;2;181483
41;uniform;100;3;2ltfduc4mx85pq1f6pungljd63j17rbr;uniform;CORRECT;1;189510
9;normal;100;100;2ltfduc4mx85pq1f6pungljd63j17rbr;normal;CORRECT;2;200841
133;bimodal;1000;5;2ltfduc4mx85pq1f6pungljd63j17rbr;normal;WRONG;2;210311
91;gamma;1000;3;2ltfduc4mx85pq1f6pungljd63j17rbr;gamma;CORRECT;3;217353
42;uniform;100;4;2ltfduc4mx85pq1f6pungljd63j17rbr;uniform;CORRECT;2;223156
44;uniform;100;7;35gz47s8zosq6w5mtmn5si4lf469mbuz;bimodal;WRONG;2;21813
109;gamma;10000;100;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;4;29284
100;gamma;10000;2;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;1;52156
73;uniform;1000000;5;35gz47s8zosq6w5mtmn5si4lf469mbuz;uniform;CORRECT;3;58574
81;gamma;100;3;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;2;68196
154;bimodal;1000000;7;35gz47s8zosq6w5mtmn5si4lf469mbuz;bimodal;CORRECT;3;72916
105;gamma;10000;10;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;3;79294
121;bimodal;100;3;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;WRONG;1;90589
72;uniform;1000000;4;35gz47s8zosq6w5mtmn5si4lf469mbuz;uniform;CORRECT;3;95436
110;gamma;1000000;2;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;3;100791
61;uniform;10000;3;35gz47s8zosq6w5mtmn5si4lf469mbuz;uniform;CORRECT;3;105749
155;bimodal;1000000;10;35gz47s8zosq6w5mtmn5si4lf469mbuz;bimodal;CORRECT;4;110541
31;normal;1000000;3;35gz47s8zosq6w5mtmn5si4lf469mbuz;normal;CORRECT;2;115197
79;uniform;1000000;100;35gz47s8zosq6w5mtmn5si4lf469mbuz;uniform;CORRECT;4;120717
156;bimodal;1000000;15;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;WRONG;2;136869
0;normal;100;2;35gz47s8zosq6w5mtmn5si4lf469mbuz;uniform;WRONG;2;145495
82;gamma;100;4;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;2;150725
8;normal;100;40;35gz47s8zosq6w5mtmn5si4lf469mbuz;normal;CORRECT;2;156901
86;gamma;100;15;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;2;162829
84;gamma;100;7;35gz47s8zosq6w5mtmn5si4lf469mbuz;gamma;CORRECT;2;167710
69;uniform;10000;100;41lhd2scnolocoswobyzhanbm0skv2ap;uniform;CORRECT;3;26330
5;normal;100;10;41lhd2scnolocoswobyzhanbm0skv2ap;gamma;WRONG;4;39841
135;bimodal;1000;10;41lhd2scnolocoswobyzhanbm0skv2ap;bimodal;CORRECT;3;49560
26;normal;10000;15;41lhd2scnolocoswobyzhanbm0skv2ap;normal;CORRECT;3;53411
35;normal;1000000;10;41lhd2scnolocoswobyzhanbm0skv2ap;normal;CORRECT;3;57738
55;uniform;1000;10;41lhd2scnolocoswobyzhanbm0skv2ap;uniform;CORRECT;3;61615
34;normal;1000000;7;41lhd2scnolocoswobyzhanbm0skv2ap;normal;CORRECT;3;65460
124;bimodal;100;7;41lhd2scnolocoswobyzhanbm0skv2ap;bimodal;CORRECT;3;72986
52;uniform;1000;4;41lhd2scnolocoswobyzhanbm0skv2ap;uniform;CORRECT;3;83752
79;uniform;1000000;100;41lhd2scnolocoswobyzhanbm0skv2ap;uniform;CORRECT;4;88850
135;bimodal;1000;10;41lhd2scnolocoswobyzhanbm0skv2ap;bimodal;CORRECT;4;92451
118;gamma;1000000;40;41lhd2scnolocoswobyzhanbm0skv2ap;gamma;CORRECT;4;96842
16;normal;1000;15;41lhd2scnolocoswobyzhanbm0skv2ap;normal;CORRECT;4;113170
27;normal;10000;20;41lhd2scnolocoswobyzhanbm0skv2ap;normal;CORRECT;4;152388
116;gamma;1000000;15;41lhd2scnolocoswobyzhanbm0skv2ap;gamma;CORRECT;3;155738
141;bimodal;10000;3;41lhd2scnolocoswobyzhanbm0skv2ap;gamma;WRONG;4;204763
68;uniform;10000;40;41lhd2scnolocoswobyzhanbm0skv2ap;uniform;CORRECT;4;220863
38;normal;1000000;40;41lhd2scnolocoswobyzhanbm0skv2ap;normal;CORRECT;4;223974
